Top pages,Clicks,Impressions,CTR,Position
https://www.legacy-boxing.com/,1844,31413,5.87%,12.29
https://www.legacy-boxing.com/pages/courses/private-training/,57,4209,1.35%,7.22
https://www.legacy-boxing.com/pages/courses/boxing/,49,4650,1.05%,9.21
https://www.legacy-boxing.com/pages/courses/mma/,47,6662,0.71%,11.71
https://www.legacy-boxing.com/pages/courses/youth-programs/,20,1576,1.27%,7.97
https://www.legacy-boxing.com/pages/membership/,9,3119,0.29%,6.15
https://www.legacy-boxing.com/pages/contact/,8,3006,0.27%,6.43
https://www.legacy-boxing.com/pages/gallery/,8,2995,0.27%,5.67
https://www.legacy-boxing.com/pages/courses/schedule/,7,1372,0.51%,9.09
https://www.legacy-boxing.com/pages/events/keystone-games/,6,633,0.95%,5.55
https://www.legacy-boxing.com/pages/pricing/,6,71,8.45%,5.7
https://www.legacy-boxing.com/pages/articles/legacy-boxing-hosts-keystone-games-2026/,2,139,1.44%,4.69
https://www.legacy-boxing.com/pages/courses/,0,180,0%,9.82
https://www.legacy-boxing.com/pages/articles/,0,25,0%,13.52
https://www.legacy-boxing.com/legacy-boxing-combat-sports-academy_youth-training-session-women-coach.jpg,0,11,0%,19.73
http://www.legacy-boxing.com/,0,4,0%,1.75
https://www.legacy-boxing.com/legacy-boxing-combat-sports-academy_gym-training-photo-penn-state-bo-nickal.jpg,0,4,0%,20
https://www.legacy-boxing.com/legacy-boxing_mitt-and-body-pad-training-session.jpg,0,3,0%,25
https://www.legacy-boxing.com/legacy-boxing-combat-sports-academy_gym-training-photo-penn-state-bo-nickal-896w.jpg,0,3,0%,26
https://www.legacy-boxing.com/action-shot.jpg,0,3,0%,30
https://www.legacy-boxing.com/legacy-boxing-combat-sports-academy_adult-boxing-class-photo.jpg,0,2,0%,22
https://www.legacy-boxing.com/legacy-boxing_youth-boxer-training-in-ring.jpg,0,1,0%,8
https://www.legacy-boxing.com/legacy-boxing-logo.webp,0,1,0%,15
https://www.legacy-boxing.com/legacy-boxing-combat-sports-academy_kids-boxing-class-photo.jpg,0,1,0%,20
https://www.legacy-boxing.com/legacy-boxing_coach-derek-roth-cornering-boxer-during-fight.jpg,0,1,0%,28
https://www.legacy-boxing.com/legacy-boxing_battle-ropes-intense-training-session.jpg,0,1,0%,51
