Top queries,Clicks,Impressions,CTR,Position
legacy boxing,339,3175,10.68%,7.81
legacy boxing state college,226,428,52.8%,1.65
boxing gyms near me,55,449,12.25%,4.68
boxing state college,50,194,25.77%,1.56
legacy boxing gym,41,1227,3.34%,9.71
boxing near me,36,240,15%,2.75
legacy boxing and combat sports academy,26,57,45.61%,2.91
boxing classes near me,24,236,10.17%,4.78
boxing gym near me,24,181,13.26%,4.15
mma state college,17,415,4.1%,4.44
boxing gym state college,16,61,26.23%,3.89
mma gyms near me,10,286,3.5%,5.95
boxing gym,10,90,11.11%,4.74
boxing lessons near me,10,63,15.87%,5.65
mma near me,8,174,4.6%,5.89
legacy gym,8,23,34.78%,2.65
legacy boxing club,7,408,1.72%,14.21
boxing for kids near me,7,32,21.88%,3.53
boxing training near me,7,30,23.33%,2.8
derek roth,6,124,4.84%,8.35
jiu jitsu state college,6,124,4.84%,9.19
state college mma,5,128,3.91%,5.25
boxing classes for kids near me,5,30,16.67%,3.83
boxing clubs near me,5,29,17.24%,4.07
jiu jitsu near me,4,116,3.45%,7.45
martial arts state college,4,104,3.85%,7.96
boxing gyms,4,47,8.51%,5.94
martial arts near me,4,44,9.09%,8.39
kids boxing classes near me,4,39,10.26%,4.23
kickboxing near me,4,32,12.5%,4.97
legacy mma,3,139,2.16%,23.38
boxing classes,3,40,7.5%,4.22
judo near me,3,36,8.33%,4.47
bjj near me,3,35,8.57%,10.69
martial arts gyms near me,3,31,9.68%,6.16
mma training near me,3,23,13.04%,5.35
boxing club near me,3,16,18.75%,4.25
kick boxing classes near me,3,14,21.43%,2.07
kids boxing near me,3,12,25%,3.92
legacy boxing and fitness,2,78,2.56%,22.99
youth boxing near me,2,15,13.33%,9.27
boxing lessons,2,12,16.67%,4.92
mma for kids near me,2,5,40%,1.6
kick boxing for kids near me,2,5,40%,1.8
female boxing classes near me,2,4,50%,1.25
boxing gyms near me with sparring,2,2,100%,1.5
boxing,1,317,0.32%,6.01
legacy combat sports,1,129,0.78%,5.57
psu boxing,1,127,0.79%,14.04
penn state mma,1,86,1.16%,9.81
muay thai near me,1,75,1.33%,6.45
gyms in state college pa,1,74,1.35%,37.2
legacy mma gym,1,71,1.41%,14.9
mma classes near me,1,52,1.92%,5.38
judo,1,42,2.38%,6
self defense classes near me,1,37,2.7%,7.24
combat sports academy,1,36,2.78%,26.86
mma gym near me,1,34,2.94%,4.15
legacyboxing,1,31,3.23%,7.23
muay thai,1,28,3.57%,5.75
beginner boxing classes near me,1,27,3.7%,33.67
boxing places near me,1,19,5.26%,7.68
kick boxing near me,1,18,5.56%,6.5
gyms state college,1,18,5.56%,33.06
boxing gyms near me for adults,1,15,6.67%,20.53
mma gym state college,1,13,7.69%,3.69
kickboxing classes near me,1,13,7.69%,5.38
bjj state college,1,10,10%,7.4
fighting classes near me,1,10,10%,8.2
boxing coaches near me,1,9,11.11%,4
kids boxing,1,8,12.5%,2.62
mma clubs near me,1,8,12.5%,5.12
boxing training,1,7,14.29%,1.57
boxing coaching near me,1,6,16.67%,1
kickboxing gym,1,6,16.67%,6.67
local boxing gyms,1,6,16.67%,7.67
gym in state college,1,6,16.67%,24.67
legacy martial arts,1,5,20%,3.6
kids mma near me,1,5,20%,4.6
boxing schools near me,1,5,20%,5.8
boxing for teens near me,1,5,20%,9.4
muay thai gym near me,1,5,20%,13.2
kickboxing for women near me,1,4,25%,1.75
workout classes near me,1,4,25%,20.75
boxing nesr me,1,3,33.33%,1
gyms near me with punching bags,1,3,33.33%,1.33
kickboxing store near me,1,3,33.33%,1.67
legacy fitness,1,3,33.33%,1.67
judo classes near me,1,3,33.33%,3.67
kids boxing lessons near me,1,3,33.33%,5.67
boxing camps near me,1,2,50%,1
boxing places,1,2,50%,1
boxing rings near me,1,2,50%,1
kids muay thai,1,2,50%,1
muay thai near me for kids,1,2,50%,1
teen boxing classes,1,2,50%,1
toddler boxing classes,1,2,50%,1
learn boxing near me,1,2,50%,2
boxing schools near me for kids,1,2,50%,3.5
kick boxing classes,1,2,50%,3.5
boxing for kids near me for beginners,1,2,50%,4
boxing for women near me,1,2,50%,5
self defense martial arts,1,2,50%,5.5
boxing clas,1,2,50%,6
jiujitsu near me,1,2,50%,6
kids mma classes near me,1,2,50%,6.5
boxing academy,1,2,50%,7
gracie jiu jitsu,1,2,50%,7
martial arts gym near me,1,2,50%,7.5
private mma training near me,1,2,50%,14
legacy art of fighting,1,2,50%,57
bocing gym,1,1,100%,1
box gyms near me,1,1,100%,1
boxing classes near me for beginners,1,1,100%,1
boxing classes nesr me,1,1,100%,1
boxing club for kids near me,1,1,100%,1
boxing for teenagers near me,1,1,100%,1
boxing gtm,1,1,100%,1
cheap boxing near me,1,1,100%,1
escula de box,1,1,100%,1
free boxing gym near me,1,1,100%,1
personal mma trainer,1,1,100%,1
private boxing training,1,1,100%,1
spar boxing gym,1,1,100%,1
sword lessons near me,1,1,100%,1
women's kickboxing near me,1,1,100%,1
womens kickboxing,1,1,100%,1
womens kickboxing classes near me,1,1,100%,1
youth boxing classes,1,1,100%,1
boxing fir kids,1,1,100%,2
toddler boxing classes near me,1,1,100%,2
free boxing training near me,1,1,100%,3
usa boxing certified gyms near me,1,1,100%,3
boxing gyms near me for ladies,1,1,100%,4
boxing personal trainer near me,1,1,100%,4
family martial arts,1,1,100%,4
women boxing classes near me,1,1,100%,4
muay thai gyms,1,1,100%,6
