Date,Clicks,Impressions,CTR,Position
2025-11-20,5,96,5.21%,15.1
2025-11-21,4,117,3.42%,11
2025-11-22,0,108,0%,21.4
2025-11-23,7,112,6.25%,13.3
2025-11-24,10,183,5.46%,17.6
2025-11-25,3,114,2.63%,14.8
2025-11-26,1,124,0.81%,16.4
2025-11-27,2,89,2.25%,14.1
2025-11-28,4,94,4.26%,11.6
2025-11-29,3,103,2.91%,12.6
2025-11-30,6,120,5%,12.4
2025-12-01,11,112,9.82%,9.7
2025-12-02,5,157,3.18%,10.9
2025-12-03,12,131,9.16%,8.6
2025-12-04,4,139,2.88%,9.4
2025-12-05,1,138,0.72%,10.1
2025-12-06,3,138,2.17%,13.6
2025-12-07,6,131,4.58%,10.9
2025-12-08,6,134,4.48%,10.3
2025-12-09,5,117,4.27%,11.8
2025-12-10,10,159,6.29%,9.9
2025-12-11,8,149,5.37%,11
2025-12-12,2,141,1.42%,9.8
2025-12-13,6,164,3.66%,11.4
2025-12-14,4,116,3.45%,10.1
2025-12-15,7,113,6.19%,13.8
2025-12-16,7,128,5.47%,9.8
2025-12-17,7,145,4.83%,10.1
2025-12-18,6,132,4.55%,15.5
2025-12-19,8,158,5.06%,9.1
2025-12-20,9,174,5.17%,11.1
2025-12-21,3,130,2.31%,12.5
2025-12-22,9,150,6%,9.2
2025-12-23,8,101,7.92%,11.7
2025-12-24,6,77,7.79%,13.3
2025-12-25,5,90,5.56%,11.3
2025-12-26,5,114,4.39%,7.8
2025-12-27,8,101,7.92%,12.9
2025-12-28,9,127,7.09%,10.6
2025-12-29,6,157,3.82%,11.6
2025-12-30,4,155,2.58%,11.6
2025-12-31,7,142,4.93%,13.3
2026-01-01,5,118,4.24%,12.1
2026-01-02,11,171,6.43%,11.2
2026-01-03,6,155,3.87%,10
2026-01-04,5,208,2.4%,12.4
2026-01-05,10,208,4.81%,11.6
2026-01-06,8,189,4.23%,10.4
2026-01-07,7,229,3.06%,12
2026-01-08,16,200,8%,11.9
2026-01-09,4,143,2.8%,10.5
2026-01-10,7,147,4.76%,11.7
2026-01-11,6,145,4.14%,9.9
2026-01-12,14,176,7.95%,8.1
2026-01-13,21,218,9.63%,6.6
2026-01-14,16,176,9.09%,9
2026-01-15,12,190,6.32%,10.4
2026-01-16,8,177,4.52%,9.1
2026-01-17,6,165,3.64%,10.3
2026-01-18,10,136,7.35%,10.7
2026-01-19,8,195,4.1%,12.7
2026-01-20,10,204,4.9%,10.8
2026-01-21,14,196,7.14%,12.6
2026-01-22,6,184,3.26%,12.7
2026-01-23,5,180,2.78%,14.3
2026-01-24,12,178,6.74%,13.5
2026-01-25,6,198,3.03%,12.4
2026-01-26,11,183,6.01%,11.4
2026-01-27,6,205,2.93%,10.3
2026-01-28,12,164,7.32%,11.7
2026-01-29,13,187,6.95%,9.4
2026-01-30,8,183,4.37%,12.3
2026-01-31,4,204,1.96%,12.4
2026-02-01,6,197,3.05%,11.9
2026-02-02,9,192,4.69%,10
2026-02-03,9,205,4.39%,13.3
2026-02-04,10,179,5.59%,11.8
2026-02-05,14,279,5.02%,16.2
2026-02-06,4,131,3.05%,12.6
2026-02-07,7,170,4.12%,11
2026-02-08,7,118,5.93%,8.6
2026-02-09,6,158,3.8%,8.9
2026-02-10,8,161,4.97%,10.7
2026-02-11,7,179,3.91%,9.2
2026-02-12,6,184,3.26%,9
2026-02-13,5,184,2.72%,11
2026-02-14,1,158,0.63%,17.3
2026-02-15,4,173,2.31%,11.3
2026-02-16,7,132,5.3%,10
2026-02-17,10,117,8.55%,8.9
2026-02-18,16,131,12.21%,10.5
2026-02-19,8,117,6.84%,8.2
