Top pages,Clicks,Impressions,CTR,Position
https://www.legacy-boxing.com/,617,10874,5.67%,10.89
https://www.legacy-boxing.com/pages/courses/private-training/,19,1842,1.03%,8.28
https://www.legacy-boxing.com/pages/courses/boxing/,17,1773,0.96%,8.64
https://www.legacy-boxing.com/pages/courses/mma/,11,2451,0.45%,11.74
https://www.legacy-boxing.com/pages/courses/youth-programs/,10,607,1.65%,8.32
https://www.legacy-boxing.com/pages/gallery/,3,1206,0.25%,6.13
https://www.legacy-boxing.com/pages/contact/,2,1138,0.18%,6.51
https://www.legacy-boxing.com/pages/membership/,1,1281,0.08%,6.07
https://www.legacy-boxing.com/pages/courses/schedule/,1,574,0.17%,11.45
https://www.legacy-boxing.com/pages/events/keystone-games/,1,45,2.22%,6.36
https://www.legacy-boxing.com/pages/articles/legacy-boxing-hosts-keystone-games-2026/,1,44,2.27%,5.11
https://www.legacy-boxing.com/pages/articles/,0,5,0%,17.8
https://www.legacy-boxing.com/legacy-boxing-combat-sports-academy_youth-training-session-women-coach.jpg,0,4,0%,18.25
https://www.legacy-boxing.com/legacy-boxing-combat-sports-academy_gym-training-photo-penn-state-bo-nickal.jpg,0,4,0%,20
https://www.legacy-boxing.com/action-shot.jpg,0,3,0%,30
https://www.legacy-boxing.com/legacy-boxing-logo.webp,0,1,0%,15
https://www.legacy-boxing.com/legacy-boxing-combat-sports-academy_kids-boxing-class-photo.jpg,0,1,0%,20
